epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,409.152,0.74052,1.63708,0.49646,0.97026,0,0.94095,0.94033,0.97848,0.77748,0.92688,0.92504,0.95963,0.68042,0.64187,1.88698,0.41844,0.9436,0,0.000665057,0.000665057,0.000665057
29,424.34,0.72615,1.59818,0.48995,0.96444,0,0.8843,0.92548,0.94168,0.79117,0.88923,0.93055,0.9537,0.6974,0.66146,1.84157,0.42839,0.94578,0,0.000636762,0.000636762,0.000636762
30,439.522,0.72619,1.56944,0.48134,0.96268,0,0.936,0.918,0.96703,0.79096,0.92161,0.90376,0.94789,0.6909,0.66285,1.97441,0.40685,0.95395,0,0.000608468,0.000608468,0.000608468
31,454.529,0.7125,1.54738,0.47512,0.95505,0,0.9278,0.92636,0.97394,0.79914,0.93246,0.91586,0.95699,0.68979,0.64556,1.90936,0.42334,0.94765,0,0.000580174,0.000580174,0.000580174
32,469.528,0.71568,1.56533,0.47532,0.95841,0,0.90637,0.96299,0.96869,0.7853,0.89237,0.94662,0.94842,0.70274,0.65973,1.81939,0.41193,0.95097,0,0.00055188,0.00055188,0.00055188
33,484.286,0.7241,1.58516,0.47951,0.96327,0,0.97387,0.90246,0.97717,0.81032,0.96535,0.89445,0.95914,0.70494,0.64581,1.86151,0.40248,0.94672,0,0.000523586,0.000523586,0.000523586
34,499.275,0.7201,1.55409,0.47216,0.95854,0,0.89819,0.97953,0.97116,0.7908,0.86675,0.94657,0.92688,0.68738,0.6449,1.86255,0.40264,0.94823,0,0.000495291,0.000495291,0.000495291
35,513.946,0.69472,1.5035,0.46223,0.95353,0,0.91138,0.96084,0.97548,0.79202,0.89558,0.94432,0.95475,0.71026,0.65678,1.8408,0.40203,0.95625,0,0.000466997,0.000466997,0.000466997
36,528.984,0.71476,1.52445,0.46346,0.95673,0,0.89128,0.98349,0.96764,0.79801,0.88195,0.9682,0.94834,0.6745,0.6619,1.93232,0.40196,0.95428,0,0.000438703,0.000438703,0.000438703
37,543.98,0.71429,1.52074,0.46054,0.95214,0,0.88062,0.96018,0.93384,0.78624,0.87941,0.95851,0.94402,0.67745,0.65273,1.92409,0.39448,0.94835,0,0.000410409,0.000410409,0.000410409
38,559.137,0.69513,1.48152,0.45293,0.94561,0,0.84969,0.95275,0.93647,0.7809,0.83642,0.93605,0.92105,0.68183,0.66963,1.99793,0.39403,0.97026,0,0.000382115,0.000382115,0.000382115
39,574.003,0.70215,1.50016,0.45235,0.94754,0,0.88491,0.93406,0.94655,0.80014,0.86911,0.91816,0.92907,0.6971,0.64827,1.81099,0.39093,0.95429,0,0.00035382,0.00035382,0.00035382
40,588.781,0.70876,1.51036,0.45107,0.95438,0,0.87921,0.98144,0.97046,0.7859,0.95088,0.88801,0.95048,0.69177,0.66054,2.03998,0.39884,0.95703,0,0.000325526,0.000325526,0.000325526
41,608.413,0.68973,1.4582,0.48805,0.9437,0,0.88758,0.98566,0.97221,0.79252,0.8581,0.95185,0.9359,0.68777,0.67876,1.90749,0.41924,0.97094,0,0.000297232,0.000297232,0.000297232
42,620.968,0.67638,1.4057,0.44222,0.94176,0,0.9248,0.95641,0.96633,0.78777,0.9122,0.94274,0.94601,0.68089,0.65544,1.90054,0.39691,0.95899,0,0.000268938,0.000268938,0.000268938
43,633.607,0.67017,1.38583,0.42642,0.93315,0,0.88682,0.95681,0.94093,0.78223,0.89009,0.9628,0.94573,0.68677,0.66761,1.9688,0.3956,0.95555,0,0.000240644,0.000240644,0.000240644
44,646.254,0.66317,1.3398,0.42202,0.92557,0,0.9368,0.95534,0.97951,0.79685,0.904,0.9226,0.93397,0.6961,0.65811,1.97153,0.38951,0.95467,0,0.000212349,0.000212349,0.000212349
45,658.874,0.66007,1.35045,0.41491,0.92973,0,0.89907,0.98031,0.97616,0.79739,0.86558,0.9427,0.92732,0.7049,0.66772,1.95022,0.38034,0.95887,0,0.000184055,0.000184055,0.000184055
46,671.505,0.64885,1.31292,0.40769,0.92534,0,0.92369,0.97793,0.97729,0.79469,0.9083,0.96264,0.95609,0.70653,0.65942,2.08037,0.38132,0.95794,0,0.000155761,0.000155761,0.000155761
47,684.127,0.64968,1.33103,0.40764,0.92814,0,0.92316,0.94278,0.97218,0.78957,0.90535,0.92504,0.94871,0.70523,0.65896,1.96155,0.38129,0.95723,0,0.000127467,0.000127467,0.000127467
48,696.708,0.65857,1.31725,0.40741,0.92874,0,0.89985,0.95835,0.96947,0.78606,0.88489,0.94306,0.94825,0.70245,0.64718,1.93556,0.37572,0.94375,0,9.91726e-05,9.91726e-05,9.91726e-05
49,709.393,0.64949,1.28019,0.40228,0.92042,0,0.89981,0.9841,0.97078,0.79108,0.88541,0.96881,0.94947,0.69845,0.66811,1.98934,0.37841,0.95865,0,7.08784e-05,7.08784e-05,7.08784e-05
50,721.966,0.63901,1.2917,0.39646,0.92165,0,0.89263,0.98654,0.97045,0.78527,0.86033,0.94968,0.92137,0.68765,0.64847,1.99627,0.37396,0.94924,0,4.25842e-05,4.25842e-05,4.25842e-05
